Date,EWA,EWC
2018-03-21,16.17966079711914,23.49501609802246
2018-03-22,15.766985893249512,23.02545166015625
2018-03-23,15.560652732849121,22.799053192138672
2018-03-26,15.838139533996582,22.95836639404297
2018-03-27,15.53219223022461,22.790666580200195
2018-03-28,15.53930377960205,22.70681381225586
2018-03-29,15.667377471923828,23.109298706054688
2018-04-02,15.397002220153809,22.78228187561035
2018-04-03,15.574878692626953,22.924827575683594
2018-04-04,15.68160343170166,23.000293731689453
2018-04-05,15.69583511352539,23.31053924560547
2018-04-06,15.517958641052246,23.058988571166992
2018-04-09,15.69583511352539,23.21830940246582
2018-04-10,15.980438232421875,23.45309066772461
2018-04-11,15.8737154006958,23.486629486083984
2018-04-12,15.9235200881958,23.486629486083984
2018-04-13,15.9235200881958,23.43631935119629
2018-04-16,15.994667053222656,23.536937713623047
2018-04-17,16.01601791381836,23.679489135742188
2018-04-18,16.108509063720703,23.796878814697266
2018-04-19,15.93774700164795,23.612403869628906
2018-04-20,15.774103164672852,23.51178741455078
2018-04-23,15.78121566772461,23.427934646606445
2018-04-24,15.78121566772461,23.377622604370117
2018-04-25,15.75275707244873,23.394397735595703
2018-04-26,15.831022262573242,23.553707122802734
2018-04-27,15.9235200881958,23.654329299926758
2018-04-30,15.788331031799316,23.58725357055664
2018-05-01,15.866596221923828,23.58725357055664
2018-05-02,16.00178337097168,23.553707122802734
2018-05-03,16.151201248168945,23.570480346679688
2018-05-04,16.172544479370117,23.738178253173828
2018-05-07,16.08716583251953,23.80526351928711
2018-05-08,16.01601791381836,23.78011131286621
2018-05-09,16.08716583251953,24.031660079956055
2018-05-10,16.279268264770508,24.350292205810547
2018-05-11,16.25792694091797,24.33352279663086
2018-05-14,16.29350471496582,24.467681884765625
2018-05-15,16.094282150268555,24.383831024169922
2018-05-16,16.24370002746582,24.50960922241211
2018-05-17,16.26504135131836,24.585073471069336
2018-05-18,16.151201248168945,24.43414306640625
2018-05-21,16.357534408569336,24.66054344177246
2018-05-22,16.24370002746582,24.534761428833008
2018-05-23,16.15831184387207,24.459299087524414
2018-05-24,16.17966079711914,24.291595458984375
2018-05-25,16.080047607421875,24.115509033203125
2018-05-29,15.859482765197754,23.75494956970215
2018-05-30,16.20811653137207,24.207746505737305
2018-05-31,16.058698654174805,24.098739624023438
2018-06-01,16.165433883666992,24.065200805664062
2018-06-04,16.26504135131836,23.62917709350586
2018-06-05,16.193893432617188,24.149051666259766
2018-06-06,16.42156982421875,24.266443252563477
2018-06-07,16.29350471496582,24.24967384338379
2018-06-08,16.286388397216797,24.358678817749023
